id;x;y
26703746;4593483.18694052;5822597.477937725
2951553394;4593571.189667243;5822640.408847506
1957082051;4594503.944508264;5823474.537360332
1837885687;4594429.348454858;5823393.623186979
1837885687;4594429.348454858;5823393.623186979
1957082051;4594503.944508264;5823474.537360332
1837885687;4594429.348454858;5823393.623186979
4363544518;4594311.05423089;5823219.781616851
4363544518;4594311.05423089;5823219.781616851
1837885687;4594429.348454858;5823393.623186979
612413639;4596381.41688096;5820784.225083948
28794542;4596337.5915642455;5820679.866362397
1668033985;4595241.357277021;5822685.360463571
25954557;4595324.279450413;5822690.991015036
25954557;4595324.279450413;5822690.991015036
1668033985;4595241.357277021;5822685.360463571
25954557;4595324.279450413;5822690.991015036
29221578;4595468.898862832;5822665.833595435
29221578;4595468.898862832;5822665.833595435
25954557;4595324.279450413;5822690.991015036
29221578;4595468.898862832;5822665.833595435
29221614;4595620.645088536;5822638.047789585
29221614;4595620.645088536;5822638.047789585
29221578;4595468.898862832;5822665.833595435
29221614;4595620.645088536;5822638.047789585
1661927348;4595730.570784514;5822619.834919855
1661927348;4595730.570784514;5822619.834919855
29221614;4595620.645088536;5822638.047789585
21441730;4593131.83128326;5825422.080782587
3578703315;4593175.646544489;5825440.634955759
540764470;4595950.57346404;5821497.107388569
196772388;4595967.410123311;5821445.242970695
196772388;4595967.410123311;5821445.242970695
540764470;4595950.57346404;5821497.107388569
59893232;4593124.479287812;5825434.786153956
302052019;4593014.622227036;5825331.194288109
302052019;4593014.622227036;5825331.194288109
303647840;4592870.442717685;5825188.585404366
303647840;4592870.442717685;5825188.585404366
28252024;4592853.003637927;5825167.918354653
26744613;4592373.281380182;5821998.715898
26807680;4592611.261403965;5821957.469285766
196772388;4595967.410123311;5821445.242970695
1876479331;4595981.470405971;5821393.001447041
1876479331;4595981.470405971;5821393.001447041
196772388;4595967.410123311;5821445.242970695
1876479331;4595981.470405971;5821393.001447041
28373974;4595978.048195375;5821240.014744571
28373974;4595978.048195375;5821240.014744571
1876479331;4595981.470405971;5821393.001447041
4978164606;4593899.4529858865;5824855.977663744
