id,acc
17289,2
67540,1
68878,1
68876,1
67545,3
80517,1
80516,2
43579,1
81846,5
80518,2
30266,1
56896,1
31597,1
79532,2
30267,1
30262,1
79535,3
79537,2
80521,1
3632,2
4967,1
68882,1
133276,1
17296,2
133278,1
121273,1
104706,1
145256,1
96095,1
30256,1
79524,2
80511,1
4974,1
158563,1
92520,1
93851,1
18598,1
67563,1
67569,2
121261,1
17260,1
43557,1
54254,2
29241,1
93848,1
93847,1
157263,2
108298,1
66246,1
43540,1
44872,1
93842,1
108292,1
79542,1
30231,1
158585,2
30237,1
3668,1
157255,1
93839,1
17244,1
20896,1
134557,2
43532,1
66253,1
134559,1
134552,1
20892,4
66259,1
17242,1
43530,1
43539,2
18570,3
116728,1
20898,1
43537,1
30224,1
81899,1
32881,2
30220,2
135891,1
3677,1
92538,1
159861,2
3679,1
67581,2
44851,1
93861,1
66265,3
92530,1
160834,1
92535,1
67599,1
92533,1
159845,1
133235,1
66269,2
17250,1
44855,1
54281,1
103419,1
30210,3
54287,1
29231,1
145218,1
134572,1
133241,1
31546,2
32878,1
31545,1
134578,1
18555,1
20871,3
91238,3
134577,1
20879,2
20878,1
43514,2
31531,1
30201,1
79598,1
145226,5
134582,3
134583,1
17226,1
30203,2
20885,1
20884,3
157202,1
17236,1
20881,1
93889,2
18560,1
93888,2
20880,2
93887,5
19894,1
1055,1
20889,1
146573,1
20886,1
78252,2
147899,1
147897,3
66280,2
66281,1
92548,1
157210,1
49712,1
96027,1
96028,1
139404,1
114104,2
116765,2
96024,1
127421,1
96026,2
114106,1
114108,1
97352,1
96022,1
59086,1
115441,1
115443,1
1057,1
139412,1
103444,2
102113,2
128746,1
139410,1
11102,1
102115,1
11101,1
103449,2
56812,1
128740,2
68801,2
139414,1
73396,2
49708,1
49707,1
96010,1
72062,1
153707,1
115430,1
140401,2
37720,2
141734,2
103457,2
141736,1
103459,2
115412,1
68814,1
68813,1
1084,1
97375,1
96044,5
140410,1
60094,1
96038,1
102111,1
97366,2
97365,2
98699,1
98692,3
98695,1
97364,1
152408,1
98691,1
13759,1
104766,1
42291,1
103434,1
42292,1
141758,2
42290,1
103492,1
25705,2
